timestamp,open,high,low,close,volume,spread
2025-01-02T05:00:00+00:00,2634.70,2635.32,2633.89,2634.14,295,14
2025-01-02T05:05:00+00:00,2634.10,2634.23,2633.48,2633.74,320,13
2025-01-02T05:10:00+00:00,2633.73,2633.79,2633.06,2633.12,344,13
2025-01-02T05:15:00+00:00,2633.11,2634.05,2632.99,2633.51,318,13
2025-01-02T05:20:00+00:00,2633.52,2634.72,2633.14,2634.15,293,13
2025-01-02T05:25:00+00:00,2634.22,2634.31,2633.26,2633.37,311,5
2025-01-02T05:30:00+00:00,2633.35,2634.14,2633.12,2633.85,238,13
2025-01-02T05:35:00+00:00,2633.85,2633.85,2632.36,2632.38,267,13
2025-01-02T05:40:00+00:00,2632.38,2633.43,2632.30,2633.43,220,13
2025-01-02T05:45:00+00:00,2633.43,2633.84,2633.09,2633.25,243,13
2025-01-02T05:50:00+00:00,2633.22,2633.24,2632.72,2632.76,183,13
2025-01-02T05:55:00+00:00,2632.75,2633.71,2632.68,2633.66,139,13
2025-01-02T06:00:00+00:00,2633.68,2633.71,2632.42,2633.05,180,13
2025-01-02T06:05:00+00:00,2633.05,2633.06,2632.11,2632.79,164,13
2025-01-02T06:10:00+00:00,2632.81,2633.29,2632.38,2632.38,138,13
2025-01-02T06:15:00+00:00,2632.55,2633.02,2632.39,2632.63,114,13
2025-01-02T06:20:00+00:00,2632.65,2633.00,2632.16,2632.52,127,13
2025-01-02T06:25:00+00:00,2632.54,2633.21,2632.38,2632.48,181,13
2025-01-02T06:30:00+00:00,2632.47,2632.88,2632.15,2632.47,164,13
2025-01-02T06:35:00+00:00,2632.44,2632.66,2632.16,2632.24,108,13
2025-01-02T06:40:00+00:00,2632.24,2632.56,2632.07,2632.18,121,12
2025-01-02T06:45:00+00:00,2632.18,2632.78,2631.10,2632.59,231,12
2025-01-02T06:50:00+00:00,2632.59,2633.93,2632.59,2633.85,181,13
2025-01-02T06:55:00+00:00,2633.86,2634.20,2633.62,2633.96,245,13
2025-01-02T07:00:00+00:00,2633.99,2634.36,2633.26,2633.26,184,13
2025-01-02T07:05:00+00:00,2633.14,2633.65,2633.06,2633.42,162,13
2025-01-02T07:10:00+00:00,2633.44,2633.98,2633.19,2633.41,186,13
2025-01-02T07:15:00+00:00,2633.42,2634.32,2633.39,2634.29,180,13
2025-01-02T07:20:00+00:00,2634.30,2634.32,2633.68,2634.29,214,13
2025-01-02T07:25:00+00:00,2634.33,2635.31,2634.30,2634.90,253,13
2025-01-02T07:30:00+00:00,2634.85,2635.88,2634.57,2635.39,361,13
2025-01-02T07:35:00+00:00,2635.40,2636.10,2634.98,2635.63,296,13
2025-01-02T07:40:00+00:00,2635.67,2636.50,2634.91,2634.93,284,13
2025-01-02T07:45:00+00:00,2634.95,2635.05,2634.07,2635.03,321,13
2025-01-02T07:50:00+00:00,2635.00,2635.35,2634.44,2634.45,306,13
2025-01-02T07:55:00+00:00,2634.47,2634.57,2634.01,2634.03,279,5
2025-01-02T08:00:00+00:00,2634.03,2634.03,2631.89,2632.55,362,13
2025-01-02T08:05:00+00:00,2632.58,2632.80,2631.82,2632.46,332,8
2025-01-02T08:10:00+00:00,2632.49,2632.91,2631.45,2631.74,241,8
2025-01-02T08:15:00+00:00,2631.72,2632.26,2631.15,2632.16,296,11
2025-01-02T08:20:00+00:00,2632.17,2633.14,2631.96,2632.94,238,13
2025-01-02T08:25:00+00:00,2633.00,2634.45,2632.94,2634.18,238,13
2025-01-02T08:30:00+00:00,2634.17,2634.41,2633.71,2633.77,231,6
2025-01-02T08:35:00+00:00,2633.77,2633.99,2633.41,2633.94,243,13
2025-01-02T08:40:00+00:00,2633.92,2634.70,2633.83,2634.11,329,13
2025-01-02T08:45:00+00:00,2634.14,2635.43,2633.77,2633.80,302,13
2025-01-02T08:50:00+00:00,2633.81,2634.55,2633.58,2634.00,279,13
2025-01-02T08:55:00+00:00,2634.00,2634.66,2633.82,2634.06,266,13
2025-01-02T09:00:00+00:00,2634.14,2634.24,2633.47,2634.24,311,13
2025-01-02T09:05:00+00:00,2634.22,2635.01,2634.13,2634.32,251,13
2025-01-02T09:10:00+00:00,2634.33,2634.89,2634.25,2634.41,202,13
2025-01-02T09:15:00+00:00,2634.38,2634.89,2633.61,2634.82,205,13
2025-01-02T09:20:00+00:00,2634.79,2635.53,2634.35,2635.52,272,13
2025-01-02T09:25:00+00:00,2635.49,2636.00,2634.33,2634.37,276,13
2025-01-02T09:30:00+00:00,2634.38,2634.38,2633.05,2633.29,290,13
2025-01-02T09:35:00+00:00,2633.28,2634.19,2633.08,2633.62,280,13
2025-01-02T09:40:00+00:00,2633.60,2634.06,2633.22,2633.61,189,13
2025-01-02T09:45:00+00:00,2633.66,2633.69,2632.96,2633.53,256,13
2025-01-02T09:50:00+00:00,2633.49,2634.71,2633.31,2634.62,213,13
2025-01-02T09:55:00+00:00,2634.63,2636.00,2634.38,2635.97,308,13
2025-01-02T10:00:00+00:00,2636.24,2636.41,2635.15,2635.92,382,13
2025-01-02T10:05:00+00:00,2636.00,2637.13,2635.28,2635.31,369,13
2025-01-02T10:10:00+00:00,2635.31,2635.55,2633.96,2635.16,332,13
2025-01-02T10:15:00+00:00,2635.17,2635.18,2633.68,2634.59,351,13
2025-01-02T10:20:00+00:00,2634.55,2634.68,2632.68,2632.75,354,13
2025-01-02T10:25:00+00:00,2632.60,2633.36,2631.25,2633.32,306,8
2025-01-02T10:30:00+00:00,2633.32,2633.95,2631.22,2633.86,254,9
