rank,confirmation_mode,min_atr,max_spread,context_ema_period,execution_ema_period,total_trades,win_rate,profit_factor,max_drawdown,net_pnl
22,relaxed,0.75,0.50,10,5,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
23,relaxed,0.75,0.75,10,5,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
24,relaxed,0.75,1.00,10,5,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
25,relaxed,0.75,0.50,10,10,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
26,relaxed,0.75,0.75,10,10,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
27,relaxed,0.75,1.00,10,10,34,0.9411764705882352941176470588,12.10904255319148936170212811,2.5478571428571428571429,35.802857142857142857142857
28,relaxed,0.25,0.50,10,3,53,0.8490566037735849056603773585,5.696438804748260335652886384,2.5478571428571428571429,40.976428571428571428571429
29,relaxed,0.25,0.75,10,3,53,0.8490566037735849056603773585,5.696438804748260335652886384,2.5478571428571428571429,40.976428571428571428571429
30,relaxed,0.25,1.00,10,3,53,0.8490566037735849056603773585,5.696438804748260335652886384,2.5478571428571428571429,40.976428571428571428571429
31,relaxed,0.50,0.50,10,3,53,0.8490566037735849056603773585,5.696438804748260335652886384,2.5478571428571428571429,40.976428571428571428571429
32,relaxed,0.50,0.75,10,3,53,0.8490566037735849056603773585,5.696438804748260335652886384,2.5478571428571428571429,40.976428571428571428571429
33,relaxed,0.50,1.00,10,3,53,0.8490566037735849056603773585,5.696438804748260335652886384,2.5478571428571428571429,40.976428571428571428571429
34,relaxed,0.25,0.50,10,5,53,0.8490566037735849056603773585,5.696438804748260335652886384,2.5478571428571428571429,40.976428571428571428571429
35,relaxed,0.25,0.75,10,5,53,0.8490566037735849056603773585,5.696438804748260335652886384,2.5478571428571428571429,40.976428571428571428571429
36,relaxed,0.25,1.00,10,5,53,0.8490566037735849056603773585,5.696438804748260335652886384,2.5478571428571428571429,40.976428571428571428571429
37,relaxed,0.50,0.50,10,5,53,0.8490566037735849056603773585,5.696438804748260335652886384,2.5478571428571428571429,40.976428571428571428571429
38,relaxed,0.50,0.75,10,5,53,0.8490566037735849056603773585,5.696438804748260335652886384,2.5478571428571428571429,40.976428571428571428571429
39,relaxed,0.50,1.00,10,5,53,0.8490566037735849056603773585,5.696438804748260335652886384,2.5478571428571428571429,40.976428571428571428571429
40,relaxed,0.25,0.50,10,10,53,0.8490566037735849056603773585,5.696438804748260335652886384,2.5478571428571428571429,40.976428571428571428571429
41,relaxed,0.25,0.75,10,10,53,0.8490566037735849056603773585,5.696438804748260335652886384,2.5478571428571428571429,40.976428571428571428571429
42,relaxed,0.25,1.00,10,10,53,0.8490566037735849056603773585,5.696438804748260335652886384,2.5478571428571428571429,40.976428571428571428571429
43,relaxed,0.50,0.50,10,10,53,0.8490566037735849056603773585,5.696438804748260335652886384,2.5478571428571428571429,40.976428571428571428571429
44,relaxed,0.50,0.75,10,10,53,0.8490566037735849056603773585,5.696438804748260335652886384,2.5478571428571428571429,40.976428571428571428571429
45,relaxed,0.50,1.00,10,10,53,0.8490566037735849056603773585,5.696438804748260335652886384,2.5478571428571428571429,40.976428571428571428571429
46,relaxed,0.25,0.50,3,3,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
47,relaxed,0.25,0.75,3,3,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
48,relaxed,0.25,1.00,3,3,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
49,relaxed,0.50,0.50,3,3,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
50,relaxed,0.50,0.75,3,3,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
51,relaxed,0.50,1.00,3,3,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
52,relaxed,0.25,0.50,3,5,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
53,relaxed,0.25,0.75,3,5,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
54,relaxed,0.25,1.00,3,5,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
55,relaxed,0.50,0.50,3,5,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
56,relaxed,0.50,0.75,3,5,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
