setup,parameters,trades,win_rate,profit_factor,net_pnl,max_drawdown,average_r,average_monthly_pnl,worst_monthly_pnl,best_monthly_pnl,positive_months,total_months
opening_range_breakout,opening_range_breakout:ny_open:rr=2.0,1521,0.40631163708086787,1.0209964022091107,150.69499999998766,465.8855000000083,-0.03093694524557308,2.0643150684929816,-135.61150000000134,308.55949999999984,35,73
opening_range_breakout,opening_range_breakout:asia:rr=2.0,1528,0.4096858638743455,1.0135371613812867,138.27699999999254,640.3714999999956,-0.013633482863505563,1.8942054794519525,-231.56349999999748,279.1884999999975,31,73
impulse_continuation,impulse_continuation:bars=6:atr=0.75:rr=2.5,1525,0.3534426229508197,1.0139719949492416,124.51749716259314,577.1817382489476,-0.030565659970080032,1.7057191392136046,-167.92158253869457,461.2736387282548,30,73
impulse_continuation,impulse_continuation:bars=12:atr=0.75:rr=3.0,1544,0.34196891191709844,1.010821521235955,102.66291989159686,457.3048227578033,-0.017484111604903405,1.4063413683780392,-195.8986410363068,285.97048436790556,34,73
impulse_continuation,impulse_continuation:bars=6:atr=0.75:rr=3.0,1525,0.3436065573770492,1.0086429044278082,78.43620102469094,564.1026013042172,-0.025215849767003824,1.0744685071875473,-153.36219237625482,312.58900496781735,32,73
impulse_continuation,impulse_continuation:bars=12:atr=0.5:rr=2.0,1547,0.36069812540400775,1.0074005215680735,69.29966145696358,702.2241136249602,-0.04007793184460056,0.9493104309173093,-170.97755521194085,343.97995749623533,35,73
impulse_continuation,impulse_continuation:bars=12:atr=0.5:rr=2.5,1547,0.345830639948287,0.999873844762328,-1.209929922625406,627.2794433398167,-0.029040018842862995,-0.01657438250171789,-189.61767203903855,441.0054616752868,30,73
impulse_continuation,impulse_continuation:bars=6:atr=0.5:rr=2.0,1546,0.3576972833117723,0.9988040090566568,-11.13291420287851,620.0017180561597,-0.04924339241705836,-0.15250567401203438,-199.3446016567632,359.5774116598959,33,73
opening_range_breakout,opening_range_breakout:ny_open:rr=3.0,1521,0.38330046022353714,0.9967529231488985,-23.945000000010168,639.8570000000063,-0.03801949691654169,-0.3280136986302763,-141.51800000000094,323.4285000000009,32,73
impulse_continuation,impulse_continuation:bars=3:atr=0.75:rr=2.0,1410,0.3780141843971631,0.9906882021105577,-71.35527105585084,716.4586136205626,-0.04698769204371636,-0.9774694665185046,-145.13229253564168,396.60293321653444,31,73
impulse_continuation,impulse_continuation:bars=6:atr=0.75:rr=2.0,1525,0.3659016393442623,0.9895642105441466,-91.80406300887716,681.5384711365982,-0.04183045788825727,-1.257589904231194,-164.7005229145052,369.88323417042375,33,73
opening_range_breakout,opening_range_breakout:ny_open:rr=2.5,1521,0.39119000657462194,0.9856080660824261,-105.20100000001366,596.2060000000079,-0.03512219243718428,-1.441109589041283,-141.51800000000094,292.17850000000135,33,73
impulse_continuation,impulse_continuation:bars=12:atr=0.75:rr=2.0,1544,0.36204663212435234,0.98357659774809,-151.75393386970745,676.2328347798814,-0.04410403714341788,-2.0788210119138006,-219.62345003452447,222.78481854363145,33,73
