timestamp,direction,entry_price,exit_price,realized_r,max_favorable_excursion_r,max_adverse_excursion_r,trend_strength_at_entry,atr_strength_at_entry,pullback_depth_at_entry,pre_entry_extension_at_entry,london_subwindow,outcome_type
2025-12-24T10:25:00+00:00,sell,4485.04,4485.06,-0.0036,0.4703,0.9658,0.001599092446078399612603975539,0.0008620684163486266468166375859,0.6074,0.4039,london_09_11,BE
2025-12-24T10:45:00+00:00,sell,4486.22,4486.24,-0.0030,0.7080,0.1589,0.001599092446078399612603975539,0.0009966984761021638228385972598,0.9874,0.4864,london_09_11,BE
2025-12-24T11:20:00+00:00,sell,4489.61,4489.63,-0.0046,0.7261,0.6480,0.001489213417310293553638446556,0.0009649220218910817022465421108,1.4040,-0.5522,london_11_13,BE
2025-12-24T11:50:00+00:00,sell,4493.38,4497.110714285714285714285714,-1.0054,0.1859,1.6843,0.001489213417310293553638446556,0.0008213633964735580438611550910,0.9494,-0.6730,london_11_13,full loss
2025-12-24T12:00:00+00:00,buy,4499.63,4492.67,-1.0029,0.0432,1.4092,0.0006168447604650255738913805724,0.0008227697194074280088401312240,0.0133,1.8559,london_11_13,full loss
2025-12-24T12:15:00+00:00,buy,4493.28,4495.2800,0.4950,0.7921,2.7054,0.0006168447604650255738913805724,0.0008946733552031264605208690350,1.0370,-0.1887,london_11_13,partial lock
2025-12-24T12:40:00+00:00,buy,4485.91,4487.990357142857142857142857,0.4952,1.1236,0.2666,0.0006168447604650255738913805724,0.0009319698623270489722854805370,1.3274,-0.6673,london_11_13,partial lock
2025-12-26T07:00:00+00:00,buy,4510.335,4510.220,-0.0329,0.3242,0.8727,0.001248260726589114329266716419,0.0007506760835866733140036881318,0.2044,0.4808,london_07_09,BE
2025-12-26T07:20:00+00:00,buy,4508.765,4512.4475,1.1348,1.6410,0.7319,0.001248260726589114329266716419,0.0006942211083140186086744369157,0.6589,0.0407,london_07_09,TP
2025-12-26T07:30:00+00:00,buy,4510.855,4512.97250,0.4742,0.8791,0.3259,0.001248260726589114329266716419,0.0007786178891141713206385521792,0.4992,0.7393,london_07_09,partial lock
