rank_by_trade_count,min_atr,context_ema_period,execution_ema_period,max_spread,total_trades,win_rate,profit_factor,max_drawdown,net_pnl,average_r
27,0.10,3,3,1.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
28,0.10,3,5,0.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
29,0.10,3,5,1.00,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
30,0.10,3,5,1.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
31,0.10,3,10,0.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
32,0.10,3,10,1.00,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
33,0.10,3,10,1.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
34,0.25,3,3,0.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
35,0.25,3,3,1.00,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
36,0.25,3,3,1.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
37,0.25,3,5,0.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
38,0.25,3,5,1.00,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
39,0.25,3,5,1.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
40,0.25,3,10,0.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
41,0.25,3,10,1.00,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
42,0.25,3,10,1.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
43,0.50,3,3,0.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
44,0.50,3,3,1.00,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
45,0.50,3,3,1.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
46,0.50,3,5,0.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
47,0.50,3,5,1.00,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
48,0.50,3,5,1.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
49,0.50,3,10,0.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
50,0.50,3,10,1.00,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
51,0.50,3,10,1.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
52,0.75,3,3,0.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
53,0.75,3,3,1.00,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
54,0.75,3,3,1.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
55,0.75,3,5,0.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
56,0.75,3,5,1.00,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
57,0.75,3,5,1.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
58,0.75,3,10,0.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
59,0.75,3,10,1.00,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
60,0.75,3,10,1.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
61,0.10,10,10,0.50,14,0.4285714285714285714285714286,0.7368518518518518518518518421,18.59785714285714285714286,-7.105000000000000000000000,-0.1428571428571428571428571429
62,0.10,10,10,1.00,14,0.4285714285714285714285714286,0.7368518518518518518518518421,18.59785714285714285714286,-7.105000000000000000000000,-0.1428571428571428571428571429
63,0.10,10,10,1.50,14,0.4285714285714285714285714286,0.7368518518518518518518518421,18.59785714285714285714286,-7.105000000000000000000000,-0.1428571428571428571428571429
64,0.25,10,10,0.50,14,0.4285714285714285714285714286,0.7368518518518518518518518421,18.59785714285714285714286,-7.105000000000000000000000,-0.1428571428571428571428571429
65,0.25,10,10,1.00,14,0.4285714285714285714285714286,0.7368518518518518518518518421,18.59785714285714285714286,-7.105000000000000000000000,-0.1428571428571428571428571429
66,0.25,10,10,1.50,14,0.4285714285714285714285714286,0.7368518518518518518518518421,18.59785714285714285714286,-7.105000000000000000000000,-0.1428571428571428571428571429
67,0.50,10,10,0.50,14,0.4285714285714285714285714286,0.7368518518518518518518518421,18.59785714285714285714286,-7.105000000000000000000000,-0.1428571428571428571428571429
68,0.50,10,10,1.00,14,0.4285714285714285714285714286,0.7368518518518518518518518421,18.59785714285714285714286,-7.105000000000000000000000,-0.1428571428571428571428571429
69,0.50,10,10,1.50,14,0.4285714285714285714285714286,0.7368518518518518518518518421,18.59785714285714285714286,-7.105000000000000000000000,-0.1428571428571428571428571429
70,0.75,10,10,0.50,14,0.4285714285714285714285714286,0.7368518518518518518518518421,18.59785714285714285714286,-7.105000000000000000000000,-0.1428571428571428571428571429
71,0.75,10,10,1.00,14,0.4285714285714285714285714286,0.7368518518518518518518518421,18.59785714285714285714286,-7.105000000000000000000000,-0.1428571428571428571428571429
72,0.75,10,10,1.50,14,0.4285714285714285714285714286,0.7368518518518518518518518421,18.59785714285714285714286,-7.105000000000000000000000,-0.1428571428571428571428571429
73,0.10,5,3,0.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
74,0.10,5,3,1.00,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
75,0.10,5,3,1.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
