parameters,entry_hour_utc,trades,profit_factor,net_pnl,max_drawdown,average_monthly_pnl,worst_monthly_pnl,positive_months,total_months
impulse_continuation:bars=3:atr=0.5:rr=3.0,5,321,1.1473368688838288,336.0905975203682,294.9041925135525,4.73367038761082,-210.44786175083573,30,71
impulse_continuation:bars=6:atr=0.75:rr=2.5,6,293,1.215869733655113,328.3966205419297,148.1328452691232,4.561064174193468,-73.81332610613936,35,72
impulse_continuation:bars=6:atr=0.35:rr=2.5,6,577,1.101730697541631,330.41781489863706,335.51494244852347,4.526271436967631,-152.00142340460934,36,73
impulse_continuation:bars=6:atr=0.75:rr=3.0,8,227,1.2372542369340787,307.9932631395775,161.07500542263188,4.4636704802837315,-51.32012878095702,31,69
impulse_continuation:bars=6:atr=0.75:rr=2.5,18,5,3.257189064278816,22.26481021742393,6.163954495339567,4.452962043484786,-6.163954495339567,3,5
impulse_continuation:bars=3:atr=0.35:rr=3.0,9,36,1.6202985680390953,129.68684816077803,94.52884054511651,4.322894938692601,-26.51000000000022,16,30
impulse_continuation:bars=12:atr=0.5:rr=2.5,6,815,1.0606155735353993,315.01427326167163,350.4555557394051,4.315264017283173,-281.44925812539805,40,73
impulse_continuation:bars=3:atr=0.35:rr=2.0,9,36,1.5930996855330637,124.0003327834279,94.52884054511651,4.133344426114263,-26.51000000000022,16,30
impulse_continuation:bars=3:atr=0.5:rr=3.0,12,66,1.4483735626149459,167.81934970043972,85.80100007911597,4.093154870742432,-46.338460648539694,19,41
impulse_continuation:bars=3:atr=0.5:rr=2.0,12,66,1.444703782175736,166.44580714975973,76.63921579756334,4.059653832920969,-46.338460648539694,20,41
impulse_continuation:bars=6:atr=0.5:rr=3.0,10,36,1.9567169342148496,117.40607130062926,27.09397767671271,4.048485217263078,-13.871146192594551,12,29
impulse_continuation:bars=6:atr=0.5:rr=2.0,6,489,1.0996115919401428,276.77005995927334,331.0977240095426,3.7913706843736072,-163.65097652547365,35,73
impulse_continuation:bars=3:atr=0.35:rr=2.0,8,95,1.2918387663958153,185.89223526134856,152.98763846084876,3.644945789438207,-70.09095269588306,17,51
impulse_continuation:bars=6:atr=0.75:rr=2.0,18,5,2.8110036175969175,17.863657274871002,6.163954495339567,3.5727314549742006,-6.163954495339567,3,5
impulse_continuation:bars=12:atr=0.35:rr=3.0,7,367,1.1243704989954788,255.1058783225426,165.52226008296657,3.5431371989242026,-70.68970252929876,33,72
impulse_continuation:bars=6:atr=0.75:rr=2.0,6,293,1.170237281386408,254.38296079866473,170.10073695521737,3.5330966777592323,-73.81332610613936,33,72
impulse_continuation:bars=3:atr=0.5:rr=3.0,14,18,1.3265475790503496,55.66536725434344,89.82392858537332,3.479085453396465,-89.82392858537332,7,16
impulse_continuation:bars=3:atr=0.5:rr=2.5,12,66,1.3801465692351564,142.2830321837771,92.80803408292513,3.4703178581409047,-46.338460648539694,18,41
impulse_continuation:bars=6:atr=0.5:rr=2.0,14,7,2.7231421931742856,20.558613657950673,11.501886342048692,3.4264356096584456,-10.047886342048741,4,6
impulse_continuation:bars=6:atr=0.5:rr=2.5,14,7,2.7231421931742856,20.558613657950673,11.501886342048692,3.4264356096584456,-10.047886342048741,4,6
impulse_continuation:bars=6:atr=0.5:rr=3.0,14,7,2.7231421931742856,20.558613657950673,11.501886342048692,3.4264356096584456,-10.047886342048741,4,6
impulse_continuation:bars=3:atr=0.5:rr=3.0,13,49,1.4466181395993287,117.75773192598467,68.20522073847951,3.3645066264567047,-67.64771249433488,15,35
impulse_continuation:bars=12:atr=0.35:rr=2.5,9,57,1.362678625066942,142.29930110293117,109.5089123076059,3.30928607216119,-44.475216699167504,17,43
impulse_continuation:bars=6:atr=0.5:rr=2.5,10,36,1.77317989687418,94.8828340486316,27.09397767671271,3.271821863745917,-13.871146192594551,12,29
impulse_continuation:bars=6:atr=0.35:rr=2.5,5,599,1.0567599942973078,232.6903575817787,462.761761342457,3.1875391449558728,-404.25561566113083,29,73
impulse_continuation:bars=12:atr=0.35:rr=3.0,9,57,1.347087291794408,136.1819407883138,109.5089123076059,3.1670218787979953,-44.475216699167504,17,43
impulse_continuation:bars=3:atr=0.35:rr=3.0,8,95,1.2411334012394966,157.33939778118156,204.30542520981817,3.08508623100356,-43.77449314207661,15,51
impulse_continuation:bars=12:atr=0.35:rr=2.5,10,10,2.410065833967376,30.566096144563062,8.670570253210144,3.056609614456306,-8.165570491957624,6,10
impulse_continuation:bars=3:atr=0.75:rr=3.0,8,153,1.1956224992623181,174.06821626632018,324.90882952374614,3.0538283555494767,-63.18640845735217,20,57
impulse_continuation:bars=3:atr=0.35:rr=2.0,15,1,inf,3.0314999999998236,0.0,3.0314999999998236,3.0314999999998236,1,1
impulse_continuation:bars=3:atr=0.35:rr=2.5,15,1,inf,3.0314999999998236,0.0,3.0314999999998236,3.0314999999998236,1,1
impulse_continuation:bars=3:atr=0.35:rr=3.0,15,1,inf,3.0314999999998236,0.0,3.0314999999998236,3.0314999999998236,1,1
impulse_continuation:bars=6:atr=0.35:rr=2.0,11,4,2.02715424214107,11.771345899706375,11.460154100293039,2.942836474926594,-7.294154100293099,2,4
impulse_continuation:bars=6:atr=0.35:rr=2.5,11,4,2.02715424214107,11.771345899706375,11.460154100293039,2.942836474926594,-7.294154100293099,2,4
impulse_continuation:bars=6:atr=0.35:rr=3.0,11,4,2.02715424214107,11.771345899706375,11.460154100293039,2.942836474926594,-7.294154100293099,2,4
impulse_continuation:bars=12:atr=0.35:rr=2.0,10,10,2.350585246539843,29.276731272194183,8.165570491957624,2.9276731272194185,-8.165570491957624,6,10
impulse_continuation:bars=3:atr=0.5:rr=2.5,13,49,1.3769047684615559,99.3767309270927,77.25750159221843,2.8393351693455053,-67.64771249433488,15,35
impulse_continuation:bars=6:atr=0.75:rr=3.0,11,69,1.3014237651960596,132.2111575103031,161.52170524745907,2.813003351283045,-75.38973882368828,25,47
impulse_continuation:bars=6:atr=0.75:rr=2.5,8,227,1.1476682987588025,190.7688556987921,173.5174433673883,2.764766024620175,-51.32012878095702,31,69
